,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
,Q4115189
Label,LAST,Len,Pacific Coast Pensioners Association. Oral History Committee
on focus list of Wikimedia project,LAST,P5008,Q98970039
archives at,LAST,P485,Q22096098,P1810,"""Oral history interviews of the International Longshore and Warehouse Union, Pacific Coast Pensioners Association Oral History Project""",P217,"""6194""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ILWU_PCPAOralHistoryProject6194"""
