,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
,Q4115189
Label,LAST,Len,United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry. Washington State Association
on focus list of Wikimedia project,LAST,P5008,Q98970039
archives at,LAST,P485,Q22096098,P1810,"""Washington State Association of the U.A. Plumbers and Pipefitters records""",P217,"""5800""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/uarchives/WSAUAPlumbersPipefitters5800"""
