,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
,Q4115189
Label,LAST,Len,Socialist Labor Party (Wash.). Seattle Section
on focus list of Wikimedia project,LAST,P5008,Q98970039
archives at,LAST,P485,Q22096098,P1810,"""Socialist Labor Party Seattle Section records""",P217,"""3180""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/SocialistLaborPartyWashSeattleSection3180"""
