,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
,Q4115189
Label,LAST,Len,
on focus list of Wikimedia project,LAST,P5008,Q98970039
archives at,LAST,P485,Q22096098,P1810,"""Independent Media Center materials regarding the WTO 1999 Seattle Ministerial Conference protests""",P217,"""5848""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/IndependentMediaCenter5848"""
