,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
,Q4115189
Label,LAST,Len,AFL-CIO. King County Labor Council of Washington
on focus list of Wikimedia project,LAST,P5008,Q98970039
archives at,LAST,P485,Q22096098,P1810,"""King County Labor Council records""",P217,"""1940""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AFLCIOKingCoLabor1940"""
