,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
archives at,LAST,P485,Q22096098,P1810,"""Clara Fraser papers""",P217,"""3187""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/FraserClara3187"""
,Q4411098,,,,,,,,
Label,Q4411098,Len,Freedom Socialist Party (U.S.),,,,,,
on focus list of Wikimedia project,Q4411098,P5008,Q98970039,,,,,,
archives at,Q4411098,P485,Q22096098,P1810,"""Freedom Socialist Party National Office (Seattle) records""",P217,"""6293""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/FreedomSocialistPartyNationalOffice6293"""
,CREATE,,,,,,,,
Label,LAST,Len,"Freese, James (Labor organizer)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""James Freese papers""",P217,"""6287""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/FreeseJames6287"""
,CREATE,,,,,,,,
Label,LAST,Len,"Friedheim, Robert L.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Robert Friedheim Seattle General Strike Collection""",P217,"""0094""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/FriedheimRobertL0094"""
,CREATE,,,,,,,,
Label,LAST,Len,"Gallacci, John",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""John Gallacci papers""",P217,"""5785""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/GallacciJohn5785"""
,CREATE,,,,,,,,
Label,LAST,Len,"George, Earl, 1894-1985",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Earl George papers and photographs""",P217,"""5910""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/GeorgeEarl5910"""
,CREATE,,,,,,,,
Label,LAST,Len,"Gibson, Harold J., 1913-1984",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Harold J. Gibson papers""",P217,"""5866""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/GibsonHaroldJ5866"""
,CREATE,,,,,,,,
Label,LAST,Len,"Gilman, Herman",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Herman Gilman collection on farmworker organizing in Washington state""",P217,"""5951""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/GilmanHerman5951"""
,CREATE,,,,,,,,
Label,LAST,Len,"Gorman, Robert, 1953 February 11-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Robert ""Bob"" Gorman papers""",P217,"""5710""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/GormanRobert5710"""
,CREATE,,,,,,,,
Label,LAST,Len,"Graphic Communications International Union. Local 767M (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Graphic Communications International Union, Local 767M records""",P217,"""5644""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/GraphicCommunicationsInternationalUnionLocal767M5644"""
,CREATE,,,,,,,,
Label,LAST,Len,"Guillén, Rosalinda, 1950?-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Guide to the Rosalinda Guillén and Joseph Moore papers""",P217,"""5799""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/Guillen_Moore5799"""
,CREATE,,,,,,,,
Label,LAST,Len,"Gundlach, Jean",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Jean Gundlach papers""",P217,"""5207""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/GundlachJean5207"""
,CREATE,,,,,,,,
Label,LAST,Len,"Gurtiza, Richard",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Richard Gurtiza collection on Asian Pacific American Labor Alliance""",P217,"""6161""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/GurtizaRichardAPALA6161"""
,CREATE,,,,,,,,
Label,LAST,Len,"Hammer, George, 1950-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""George Hammer papers""",P217,"""6276""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/HammerGeorge6276"""
,CREATE,,,,,,,,
Label,LAST,Len,Harry Bridges Center for Labor Studies (University of Washington),,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Harry Bridges Center for Labor Studies Union Charters collection""",P217,"""5725""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/HarryBridgesCenterLaborStudies5725"""
,CREATE,,,,,,,,
Label,LAST,Len,"Hatten, Barry, 1917-2008",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""C. T. (Barry) Hatten papers""",P217,"""5583""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/HattenCanterburyTheodore5583"""
,CREATE,,,,,,,,
Label,LAST,Len,"Hopkinson, E. William, 1875-1956",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Microfilm of E. William Hopkinson papers""",P217,"""0462""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/HopkinsonEWilliam0462"""
,CREATE,,,,,,,,
Label,LAST,Len,"Hopkinson, Mary, 1880-1970",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Mary Hopkinson papers""",P217,"""3163""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/HopkinsonMary3163"""
,CREATE,,,,,,,,
Label,LAST,Len,"Huff, Henry P.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Henry P. Huff papers""",P217,"""1499""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/HuffHenryP1499"""
,CREATE,,,,,,,,
Label,LAST,Len,International Association of Machinists and Aerospace Workers. District Lodge 751,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Association of Machinists and Aerospace Workers District Lodge 751 records""",P217,"""6182""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/IAMAW751_6182"""
,CREATE,,,,,,,,
Label,LAST,Len,International Association of Machinists and Aerospace Workers. Lodge 751-A,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Association of Machinists and Aerospace Workers, Lodge 751-A records""",P217,"""6186""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/IAMAW751_A_6186"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Brotherhood of Electrical Workers. Local 46 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Brotherhood of Electrical Workers, Local 46 records""",P217,"""5739""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/IBEWLocal46_5739"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Brotherhood of Electrical Workers. Local 77 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Brotherhood of Electrical Workers, Local 77 records""",P217,"""5569""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/IBEWLocal77_5569"""
,CREATE,,,,,,,,
Label,LAST,Len,Pacific Coast Pensioners Association. Oral History Committee,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Oral history interviews of the International Longshore and Warehouse Union, Pacific Coast Pensioners Association Oral History Project""",P217,"""6194""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ILWU_PCPAOralHistoryProject6194"""
,Q1137514,,,,,,,,
Label,Q1137514,Len,Independent Media Center,,,,,,
on focus list of Wikimedia project,Q1137514,P5008,Q98970039,,,,,,
archives at,Q1137514,P485,Q22096098,P1810,"""Independent Media Center materials regarding the WTO 1999 Seattle Ministerial Conference protests""",P217,"""5848""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/IndependentMediaCenter5848"""
,CREATE,,,,,,,,
Label,LAST,Len,Industrial Workers of the World. California Office,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Industrial Workers of the World California Office records""",P217,"""4762""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/IndustrialWorkersWorldCaliforniaOffice4762"""
,CREATE,,,,,,,,
Label,LAST,Len,Instructors' Association (University of Washington),,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Instructors' Association records""",P217,"""5065""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/InstructorsAssociation5065"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Association of Machinists and Aerospace Workers. Lodge 751-E (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Association of Machinists and Aerospace Workers, Lodge 751E records""",P217,"""5818""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/IntAssocMachinistsAerospaceWorkersLocal751E5818"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Association of Machinists. Hope Lodge 79 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Association of Machinists Hope Lodge 79 records""",P217,"""0093""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/InternationalAssociationofMachinistsHopeLodge79SeattleWash0093"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Brotherhood of Boilermakers, Iron Shipbuilders, Blacksmiths, Forgers, and Helpers of America. Local 104 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Brotherhood of Boilermakers, Iron Shipbuilders, Blacksmiths, Forgers, and Helpers of America, Local 104 (Seattle, Washington) records""",P217,"""1409""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/InternationalBrotherhoodofBoilerMakersIronShipBuildersandHelpersofAmericaLocalSeattleWash1409"""
,Q655029,,,,,,,,
Label,Q655029,Len,"International Brotherhood of Teamsters, Chauffeurs, Warehousemen, and Helpers of America",,,,,,
on focus list of Wikimedia project,Q655029,P5008,Q98970039,,,,,,
archives at,Q655029,P485,Q22096098,P1810,"""International Brotherhood of Teamsters, Chauffeurs, Warehousemen, and Helpers of America records""",P217,"""3235""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/InternationalBrotherhoodofTeamstersChauffeursWarehousemenandHelpersofAmerica3235"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Longshoremen's and Warehousemen's Union. Fishermen and Allied Workers Division. Local 3 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Longshoremen's and Warehousemen's Union Fishermen and Allied Workers Division Local 3 records""",P217,"""3466""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/InternationalLongshoremensandWarehousemensUnionFishermenandAlliedWorkersDivisionLocal3SeattleWash3466"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Longshoremen's and Warehousemen's Union. Local 1 (Raymond, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Longshoremen's and Warehousemen's Union Local 1 records""",P217,"""4307""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/InternationalLongshoremensandWarehousemensUnionLocal4307"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Organization of Masters, Mates, and Pilots. Local 6",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Organization of Masters, Mates and Pilots, Local 6 records""",P217,"""1874""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/InternationalOrganizationofMastersMatesandPilotsLocal6_1874"""
,Q6054069,,,,,,,,
Label,Q6054069,Len,International Typographical Union,,,,,,
on focus list of Wikimedia project,Q6054069,P5008,Q98970039,,,,,,
archives at,Q6054069,P485,Q22096098,P1810,"""International Typographical Union records""",P217,"""5370""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/InternationalTypographicalUnion5370"""
,Q6054300,,,,,,,,
Label,Q6054300,Len,International Woodworkers of America,,,,,,
on focus list of Wikimedia project,Q6054300,P5008,Q98970039,,,,,,
archives at,Q6054300,P485,Q22096098,P1810,"""International Woodworkers of America records""",P217,"""4000""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/InternationalWoodworkersAmerica4000"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Woodworkers of America. Local 3-101 (Everett, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Woodworkers of America Local 3-101 records""",P217,"""3120""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/InternationalWoodworkersAmericaEverettWash3120"""
,CREATE,,,,,,,,
Label,LAST,Len,International Longshoremen's and Warehousemen's Union. Local 9,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Longshoremen's and Warehousemen's Union, Local 9 records""",P217,"""5809""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/IntlLongshoremensandWarehousemensUnionLocal9_5809"""
,CREATE,,,,,,,,
Label,LAST,Len,"International Union of Mine, Mill, and Smelter Workers. Local 25 (Tacoma, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""International Union of Mine, Mill and Smelter Workers, Local 25 records""",P217,"""1608""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/IntlUnionMineMillSmelterWorkers_Local25_1608"""
,CREATE,,,,,,,,
Label,LAST,Len,"Johnson, Gordon",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Gordon Johnson papers""",P217,"""6171""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/JohnsonGordon6171"""
,CREATE,,,,,,,,
Label,LAST,Len,"Johnston, Bill (Union organizer)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Bill Johnston papers""",P217,"""6235""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/JohnstonBill6235"""
,CREATE,,,,,,,,
Label,LAST,Len,Katipunan Ng Mga Demokratikong Pilipino,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Katipunan ng mga Demokratikong Pilipino (KDP) [Union of Democratic Filipinos] records""",P217,"""5889""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/KatipunanDemokratikongPilipino5889"""
,CREATE,,,,,,,,
Label,LAST,Len,"Keller, David (David E.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""David Keller Papers""",P217,"""5321""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/KellerDavid5321"""
,CREATE,,,,,,,,
Label,LAST,Len,"Kelsey, Norma L.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Norma L. Kelsey papers""",P217,"""6231""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/KelseyNormaL6231"""
,CREATE,,,,,,,,
Label,LAST,Len,"King County Nurses Association (King County, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""King County Nurses Association records""",P217,"""3049""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/KingCountyNursesAssociationKingCountyWash3049"""
,CREATE,,,,,,,,
Label,LAST,Len,"Kolloen, Peter",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Peter Kolloen collection on Elias ""Dutch"" Shultz""",P217,"""6027""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/KolloenPetercollection6027"""
,CREATE,,,,,,,,
Label,LAST,Len,"Krasnowsky, Frank",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Frank Krasnowsky papers""",P217,"""5876""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/KrasnowskyFrank5876"""
,CREATE,,,,,,,,
Label,LAST,Len,"Lambert, George W., -1971",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""George Lambert recordings""",P217,"""5830""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/LambertGeorge"""
,CREATE,,,,,,,,
Label,LAST,Len,"Lannge, Nils, 1906-1995",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Nils and Evelyn Lannge papers""",P217,"""5828""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/LanngeNilsEvelyn5828"""
,CREATE,,,,,,,,
Label,LAST,Len,"Ledwich, Leo L.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Leo L. Ledwich papers""",P217,"""4061""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/LedwichLeoL4061"""
,Q27991542,,,,,,,,
Label,Q27991542,Len,Left Bank Books,,,,,,
on focus list of Wikimedia project,Q27991542,P5008,Q98970039,,,,,,
archives at,Q27991542,P485,Q22096098,P1810,"""Left Bank Books Collective records""",P217,"""6272""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/LeftBankBooksCollective6272"""
,CREATE,,,,,,,,
Label,LAST,Len,"Lelli, Phil, 1929-2004",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Phil Lelli papers""",P217,"""5536""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/LelliPhil5536"""
,CREATE,,,,,,,,
Label,LAST,Len,"Lembcke, Jerry, 1943-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Jerry Lembcke papers""",P217,"""5796""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/LembckeJerry5796"""
,CREATE,,,,,,,,
Label,LAST,Len,"Litchman, Claire",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Claire Litchman papers""",P217,"""3872""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/LitchmanClaire3872"""
,CREATE,,,,,,,,
Label,LAST,Len,"Loewe, R. (Rheinhold)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Rheinhold Loewe papers""",P217,"""5421""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/LoeweRRheinhold5421"""
,CREATE,,,,,,,,
Label,LAST,Len,"Magden, Ronald",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Ronald Magden papers""",P217,"""5185""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MagdenRonald5185"""
,CREATE,,,,,,,,
Label,LAST,Len,"Major, Adolph",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Adolph Major collection""",P217,"""5712""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MajorAdolph5712"""
,CREATE,,,,,,,,
Label,LAST,Len,"Maloney, Shaun, 1911-1999",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Shaun Maloney papers""",P217,"""5255""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MaloneyShaun5255_1"""
,CREATE,,,,,,,,
Label,LAST,Len,Maritime Federation of the Pacific Coast,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Maritime Federation of the Pacific Coast convention reports""",P217,"""0789""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MaritimeFederationPacificCoast0789"""
,CREATE,,,,,,,,
Label,LAST,Len,"Markholt, Ottilie",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Ottilie Markholt papers""",P217,"""4191""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MarkholtOttilie4191"""
,CREATE,,,,,,,,
Label,LAST,Len,"Marmot, Inc. (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Marmot, Inc. records""",P217,"""6163""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MarmotInc6163"""
,CREATE,,,,,,,,
Label,LAST,Len,"Mason, Nancy",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Nancy Mason papers""",P217,"""6055""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/MasonNancy6055"""
,CREATE,,,,,,,,
Label,LAST,Len,"Meehan, Matthew, 1896-1977",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
