,QID or create new,"Property (or label, alias, description)",Property value,Qualifier property,Qualifier value,Qualifier property,Qualifier value,Qualifier property,Qualifier value
archives at,LAST,P485,Q22096098,P1810,"""Henry Andes interview transcript""",P217,"""5371""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AndesHenry5371"""
,CREATE,,,,,,,,
Label,LAST,Len,"Apostolidis, Paul, 1965-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Paul Apostolidis interviews and research materials on Pasco meatpacking plant workers""",P217,"""6284""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ApostolidisPaul6284"""
,Q16971094,,,,,,,,
Label,Q16971094,Len,Association of Western Pulp and Paper Workers,,,,,,
on focus list of Wikimedia project,Q16971094,P5008,Q98970039,,,,,,
archives at,Q16971094,P485,Q22096098,P1810,"""Association of Western Pulp and Paper Workers records""",P217,"""2052""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/AssociationofWesternPulpandPaperWorkers2052"""
,CREATE,,,,,,,,
Label,LAST,Len,"Barnett, Eugene, 1892-1973",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Eugene Barnett oral history collection""",P217,"""4553""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BarnettEugene4553"""
,CREATE,,,,,,,,
Label,LAST,Len,"Bassett, Samuel B., 1896-1971",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Samuel B. Bassett papers""",P217,"""1792""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BassettSamuelB1792"""
,CREATE,,,,,,,,
Label,LAST,Len,"Bates, Matthew C.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Matthew C. Bates papers""",P217,"""5782""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BatesMatthewC5782"""
,CREATE,,,,,,,,
Label,LAST,Len,"Bell, S. Leonard",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""S. Leonard Bell papers""",P217,"""1649""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BellSLeonard1649"""
,CREATE,,,,,,,,
Label,LAST,Len,"Boschok, Jackie, 1952-",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Jackie Boschok papers""",P217,"""5688""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BoschokJackie5688"""
,CREATE,,,,,,,,
Label,LAST,Len,"Brady, Jerry",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Jerry Brady papers""",P217,"""5964""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BradyJerry5964"""
,CREATE,,,,,,,,
Label,LAST,Len,Brand Responsibility Project,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Brand Responsibility Project records""",P217,"""5683""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BrandResponsiblityProject5683"""
,CREATE,,,,,,,,
Label,LAST,Len,"Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express, and Station Employes. Northern Pacific System Board of Adjustment. Tacoma Division",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Brotherhood of Railway and Steamship Clerks, Freight Handlers, Express, and Station Employees, Northern Pacific System Board of Adjustment Tacoma Division records""",P217,"""2275""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BrotherhoodofRailwayandSteamshipClerksFreightHandlersExpressandStationEmployesNorthernPacificSystemBoardofAdjustmentTacomaDivision2275"""
,CREATE,,,,,,,,
Label,LAST,Len,"Building & Construction Trades Council (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Seattle Building & Construction Trades Council records""",P217,"""2299""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BuildingAndConstruction2299"""
,CREATE,,,,,,,,
Label,LAST,Len,Building and Construction Trades Council of Bremerton and Vicinity,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Building and Construction Trades Council of Bremerton and Vicinity records""",P217,"""6278""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BuildingConstructionTradesBremerton6278"""
,CREATE,,,,,,,,
Label,LAST,Len,"Building Service Employees' International Union. Local 6 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Building Service Employees' International Union, Local 6 records""",P217,"""3140""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BuildingServiceEmployeesInternationalUnionLocal6SeattleWash3140"""
,CREATE,,,,,,,,
Label,LAST,Len,"Bulosan, Aurelio",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Aurelio Bulosan papers""",P217,"""2329""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BulosanAurelio2329"""
,CREATE,,,,,,,,
Label,LAST,Len,"Bulosan, Carlos",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Carlos Bulosan papers""",P217,"""0581""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/BulosanCarlos0581"""
,CREATE,,,,,,,,
Label,LAST,Len,"Cannery Workers and Farm Laborers Union. Local 7 (Seattle, Wash.)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Cannery Workers and Farm Laborers Union, Local 7 records""",P217,"""3927""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CanneryWorkersandFarmLaborersUnionLocal7SeattleWash3927"""
,CREATE,,,,,,,,
Label,LAST,Len,"Carr, Harry L.",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Harry L. Carr papers""",P217,"""2210""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CarrHarryL2210"""
,CREATE,,,,,,,,
Label,LAST,Len,CASA Latina,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""CASA Latina records""",P217,"""5975""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CasaLatina5975"""
,CREATE,,,,,,,,
Label,LAST,Len,"Castle, Del, 1915-2006",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Del Castle papers""",P217,"""5730""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CastleDel5730"""
,CREATE,,,,,,,,
Label,LAST,Len,"Caughlan, John, 1909-1999",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""John Caughlan papers""",P217,"""0704""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CaughlanJohn0704"""
,CREATE,,,,,,,,
Label,LAST,Len,Central Contractors Association,,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Central Contractors Association records""",P217,"""1346""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CentralContractorsAssociation1346"""
,CREATE,,,,,,,,
Label,LAST,Len,"Clancy, Joseph,  -1973",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Joseph Clancy papers""",P217,"""2218""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/ClancyJoseph2218"""
,CREATE,,,,,,,,
Label,LAST,Len,"Clifford, Bill (Labor activist)",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Bill Clifford audiocassettes of Ottilie Markholt's memorial""",P217,"""5949""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CliffordBill5949"""
,CREATE,,,,,,,,
Label,LAST,Len,"Coder, Bob",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
on focus list of Wikimedia project,LAST,P5008,Q98970039,,,,,,
archives at,LAST,P485,Q22096098,P1810,"""Robert ""Bob"" Coder Lockheed Shipbuilding Company Lockout scrapbook""",P217,"""5711""",P973,"""http://www.lib.washington.edu/specialcoll/findaids/docs/papersrecords/CoderBob5711"""
,CREATE,,,,,,,,
Label,LAST,Len,"Columna, Potenciano, 1905-1997",,,,,,
Description,LAST,Den,,,,,,,
Also known as,LAST,Aen,,,,,,,
